met,Feature Dataset,Feature Class,SourceAttribute,DestinationAttribute,String Type,Definition,Notes
MTA.projectareasOBJECTID,MTA.CAD,MTA.projectareas,OBJECTID,Object ID,,,
MTA.projectareasSHAPE,MTA.CAD,MTA.projectareas,SHAPE,Do Not Publish,,,
MTA.projectareasCREATED_USER,MTA.CAD,MTA.projectareas,CREATED_USER,Do Not Publish,,,
MTA.projectareasCREATED_DATE,MTA.CAD,MTA.projectareas,CREATED_DATE,Do Not Publish,,,
MTA.projectareasLAST_EDITED_USER,MTA.CAD,MTA.projectareas,LAST_EDITED_USER,Do Not Publish,,,
MTA.projectareasLAST_EDITED_DATE,MTA.CAD,MTA.projectareas,LAST_EDITED_DATE,Last Edited Date,,,
MTA.projectareasCIP_ID,MTA.CAD,MTA.projectareas,CIP_ID,CIP ID,, The Capital Improvement Project ID associated with this project area,
MTA.projectareasSHAPE.AREA,MTA.CAD,MTA.projectareas,SHAPE.AREA,Do Not Publish,,,
MTA.projectareasSHAPE.LEN,MTA.CAD,MTA.projectareas,SHAPE.LEN,Do Not Publish,,,
MTA.transitonlylanesOBJECTID,MTA.Transit,MTA.transitonlylanes,OBJECTID,Object ID,,,
MTA.transitonlylanesID,MTA.Transit,MTA.transitonlylanes,ID,ID,,,
MTA.transitonlylanesST_NAME,MTA.Transit,MTA.transitonlylanes,ST_NAME,Street Name,,,
MTA.transitonlylanesSPAN_OPS,MTA.Transit,MTA.transitonlylanes,SPAN_OPS,Operation Span,,,
MTA.transitonlylanesHRS_BEGIN,MTA.Transit,MTA.transitonlylanes,HRS_BEGIN,Hours Begin,, Hour when transit only lane status begins,
MTA.transitonlylanesHRS_END,MTA.Transit,MTA.transitonlylanes,HRS_END,Hours End,, Hour when transit only lane status ends. Inclusive of entire hour (e.g. 1500 includes 1500 through 1559),
MTA.transitonlylanesREDLANE,MTA.Transit,MTA.transitonlylanes,REDLANE,Red Lane,," Whether the lane is painted red or not (""red lane""). Per federal regulations transit only lanes must operate 24 hours a day 7 days a week to be eligible for red lane treatment",
MTA.transitonlylanesTAXI,MTA.Transit,MTA.transitonlylanes,TAXI,Taxi Allowed,," Whether taxis are allowed in transit only lanes or not (""taxi allowed"")",
MTA.transitonlylanesHOURS,MTA.Transit,MTA.transitonlylanes,HOURS,Hours,, Hours of operation where transit only lane status applies,
MTA.transitonlylanesSTATUS,MTA.Transit,MTA.transitonlylanes,STATUS,Status,," Current status of the lane (""active"", ""suspended""). ""Suspended"" indicates a temporary closure",
MTA.transitonlylanesDAYTYPE_WD,MTA.Transit,MTA.transitonlylanes,DAYTYPE_WD,Applied Weekdays,," Weekdays - day type when transit only lane status is applied (""weekdays"")",
MTA.transitonlylanesDAYTYPE_WE,MTA.Transit,MTA.transitonlylanes,DAYTYPE_WE,Applied Weekends,," Weekends - day type when transit only lane status is applied (""weekends"")",
MTA.transitonlylanesCREATED_USER,MTA.Transit,MTA.transitonlylanes,CREATED_USER,Do Not Publish,,,
MTA.transitonlylanesCREATED_DATE,MTA.Transit,MTA.transitonlylanes,CREATED_DATE,Do Not Publish,,,
MTA.transitonlylanesLAST_EDITED_USER,MTA.Transit,MTA.transitonlylanes,LAST_EDITED_USER,Do Not Publish,,,
MTA.transitonlylanesLAST_EDITED_DATE,MTA.Transit,MTA.transitonlylanes,LAST_EDITED_DATE,Last Edited Date,,,
MTA.transitonlylanesSHAPE,MTA.Transit,MTA.transitonlylanes,SHAPE,Do Not Publish,,,
MTA.transitonlylanesSHAPE.LEN,MTA.Transit,MTA.transitonlylanes,SHAPE.LEN,Do Not Publish,,,
MTA.MuniForward_TPP_segmentOBJECTID,MTA.Transit,MTA.MuniForward_TPP_segment,OBJECTID,Object ID,,,
MTA.MuniForward_TPP_segmentROUTE,MTA.Transit,MTA.MuniForward_TPP_segment,ROUTE,Route,, Muni transit route,
MTA.MuniForward_TPP_segmentPROJECT_NA,MTA.Transit,MTA.MuniForward_TPP_segment,PROJECT_NA,Project Name,,,
MTA.MuniForward_TPP_segmentLIMIT_STAR,MTA.Transit,MTA.MuniForward_TPP_segment,LIMIT_STAR,Start Project Location,,,
MTA.MuniForward_TPP_segmentLIMIT_END,MTA.Transit,MTA.MuniForward_TPP_segment,LIMIT_END,End Project Location,, End of project location following the route path,
