Index,Feature Dataset,Feature Class,SourceAttribute,DestinationAttribute,Definition,Notes
,,RP.properties,Map_Label,Map Label,,
,,RP.properties,TMA_PropertyID,Property ID,,
,,RP.properties,PropertyType,Property Type,,
,,RP.properties,Address,Address,,
,,RP.properties,City,City,,
,,RP.properties,State,State,,
,,RP.properties,Zipcode,Zipcode,,
,,RP.properties,PSA,Complex,,
,,RP.properties,Complex,Park Service Area,,
,,RP.properties,PropertyType,Property Alias,,
,,RP.properties,Land_ID,Real Estate Land ID,,
,,RP.properties,SupDist,Supervisorial District,,
,,RP.properties,Ownership,Ownership,,
,,RP.properties,Acres,Acres,,
,,RP.properties,SquareFeet,Square Feet,,
,,RP.properties,PerimeterLength,Perimeter Length,,
,,RP.facilities,ObjectID,Object ID,,
,,RP.facilities,Map_Label,Map Label,,
,,RP.facilities,TMA_FacilityID,Facility ID,,
,,RP.facilities,Facility_Type,Facility Type,,
,,RP.facilities,TMA_Facility_Name,Facility Name,,
,,RP.facilities,Address,Address,,
,,RP.facilities,City,City,,
,,RP.facilities,State,State,,
,,RP.facilities,Zipcode,Zipcode,,
,,RP.facilities,Property_ID ,Property,,
,,RP.facilities,Floor_Count,Floor Count,,
,,RP.facilities,SquareFeet,Square Feet,,
,,RP.facilities,PerimeterLength,Perimeter Length,,
,,RP.facilities,Acres,Acres,,
,,RP.facilities,Longitude,Longitude,,
,,RP.facilities,Latitude,Latitude,,
,,RP.linear_assests,ObjectID,Object ID,,
,,RP.linear_assests,Map_Label,Map Label,,
,,RP.linear_assests,Asset_ID,Asset ID,,
,,RP.linear_assests,Length,Length,,
,,RP.linear_assests,Functional_Area_ID,Functional Area ID,,
,,RP.linear_assests,Floor_ID,Floor ID,,
,,RP.linear_assests,Facility_ID,Facility ID,,
,,RP.linear_assests,Property_ID,Property ID,,
,,RP.linear_assests,TMA_Asset_Name,Asset Name,,
,,RP.linear_assests,Quantity,Quantity,,
,,RP.linear_assests,Asset_Type,Asset Type,,
,,RP.linear_assests,Asset_Subtype,Asset Subtype,,
,,RP.sfrpd_functional_areas,OBJECTID,Object ID,,
,,RP.sfrpd_functional_areas,Map_Label,Map Label,,
,,RP.sfrpd_functional_areas,FuncArea_ID,Area ID,,
,,RP.sfrpd_functional_areas,Functional_Area_Type,Area Type,,
,,RP.sfrpd_functional_areas,Functional_Area_Subtype,Area Subtype,,
,,RP.sfrpd_functional_areas,Room_Number,Area Number,,
,,RP.sfrpd_functional_areas,TMA_Name,Facility,,
,,RP.sfrpd_functional_areas,Facility_ID,Facility ID,,
,,RP.sfrpd_functional_areas,Property_ID,Property ID,,
,,RP.sfrpd_functional_areas,SquareFeet,Square Feet,,
,,RP.sfrpd_functional_areas,PerimeterLength,Perimeter Length,,
,,RP.sfrpd_functional_areas,Longitude,Longitude,,
,,RP.sfrpd_functional_areas,Latitude,Latitude,,
,,RP.sfrpd_functional_areas,Latitude,Shape,,
,,RP.restrooms,OBJECTID,Object ID,,
,,RP.restrooms,Map_Label,Map Label,,
,,RP.restrooms,Access_Type,Access Type,,
,,RP.restrooms,Longitude,Longitude,,
,,RP.restrooms,Latitude,Latitude,,
,,RP.restrooms,TMA_FacilityID,Facility ID,,
,,RP.restrooms,Facility_Type,Facility Type,,
,,RP.restrooms,Property,Property,,
,,RP.restrooms,Complex,Complex,,
,,RP.restrooms,PSA,PSA,,
,,RP.restrooms,Sup_Dist,Supervisor District,,
